FIPS,County,DeathRate
49011,Davis County,0.37
49035,Salt Lake County,0.51
49037,San Juan County,2.28
49045,Tooele County,0.25
49049,Utah County,0.3
50001,Addison County,0.9
50003,Bennington County,0.48
50007,Chittenden County,2.4
50021,Rutland County,1.59
50023,Washington County,1.06
51003,Albemarle County,1.01
51013,Arlington County,1.85
51023,Botetourt County,1.19
51033,Caroline County,0.95
51035,Carroll County,2.32
51036,Charles City County,3.28
51041,Chesterfield County,1.25
51059,Fairfax County,1.44
51061,Fauquier County,1.06
51069,Frederick County,0.81
51071,Giles County,0.66
51085,Hanover County,1.69
51087,Henrico County,2.09
51107,Loudoun County,1.07
51113,Madison County,1.4
51121,Montgomery County,0.86
51139,Page County,2.79
51147,Prince Edward County,1.47
51153,Prince William County,0.93
51161,Roanoke County,1.32
51163,Rockbridge County,0.88
51165,Rockingham County,1.05
51179,Stafford County,0.49
51197,Wythe County,2
51510,Alexandria city,1.13
51520,Bristol city,0.76
51550,Chesapeake city,1.04
51580,Covington city,0.87
51650,Hampton city,1.01
51670,Hopewell city,1
51680,Lynchburg city,1.2
51700,Newport News city,1.05
51710,Norfolk city,1.16
51760,Richmond city,1.02
51770,Roanoke city,1.82
51775,Salem city,2.3
51800,Suffolk city,2.08
51810,Virginia Beach city,0.83
51840,Winchester city,0.93
53001,Adams County,0.95
53003,Asotin County,1.74
53005,Benton County,1.31
53007,Chelan County,0.73
53009,Clallam County,0.51
53011,Clark County,1.06
53015,Cowlitz County,1.19
53025,Grant County,0.78
53027,Grays Harbor County,1.05
53031,Jefferson County,0.79
53033,King County,1.61
53035,Kitsap County,1.13
53037,Kittitas County,1.62
53041,Lewis County,1.24
53045,Mason County,0.88
53047,Okanogan County,1.6
53053,Pierce County,1.35
53057,Skagit County,1.21
53059,Skamania County,0.47
53061,Snohomish County,1.7
53063,Spokane County,1.33
53065,Stevens County,1.42
53067,Thurston County,1.09
53071,Walla Walla County,1.04
53073,Whatcom County,1.35
53075,Whitman County,1.14
53077,Yakima County,1.54
54003,Berkeley County,0.8
54009,Brooke County,2.39
54011,Cabell County,1.94
